region_id,sciname,class,common,status,year
1,Tursiops truncatus,mammalia,Common Bottlenose Dolphin,0,2020
1,Balaenoptera edeni,mammalia,Bryde's Whale,0,2020
1,Stenella longirostris,mammalia,Spinner Dolphin,0,2020
1,Globicephala macrorhynchus,mammalia,Short-finned Pilot Whale,0,2020
1,Megaptera novaeangliae,mammalia,Humpback Whale,0,2020
1,Balaenoptera borealis,mammalia,Sei Whale,0.6,2020
1,Grampus griseus,mammalia,Risso's Dolphin,0,2020
1,Balaenoptera musculus,mammalia,Blue Whale,0.6,2020
1,Lagenodelphis hosei,mammalia,Fraser's Dolphin,0,2020
1,Balaenoptera acutorostrata,mammalia,Common Minke Whale,0,2020
1,Pseudorca crassidens,mammalia,False Killer Whale,0.2,2020
1,Feresa attenuata,mammalia,Pygmy Killer Whale,0,2020
1,Stenella attenuata,mammalia,Pantropical Spotted Dolphin,0,2020
1,Sphoeroides pachygaster,actinopterygii,Blunthead Puffer,0,2020
1,Canthigaster janthinoptera,actinopterygii,Honeycomb Toby,0,2020
1,Canthigaster amboinensis,actinopterygii,Spider-eye Puffer,0,2020
1,Canthigaster solandri,actinopterygii,Spotted Sharpnose,0,2020
1,Lagocephalus lagocephalus,actinopterygii,Oceanic Puffer,0,2020
1,Arothron nigropunctatus,actinopterygii,Blackspotted Puffer,0,2020
1,Lagocephalus sceleratus,actinopterygii,Silver-cheeked Toadfish,0,2020
1,Canthigaster bennetti,actinopterygii,Bennett's Sharpnose Puffer,0,2020
1,Arothron hispidus,actinopterygii,White-spotted Puffer,0,2020
1,Arothron meleagris,actinopterygii,Guineafowl Puffer,0,2020
1,Eretmochelys imbricata,reptilia,Hawksbill Turtle,0.8,2020
1,Dermochelys coriacea,reptilia,Leatherback,0.8,2020
1,Caretta caretta,reptilia,Loggerhead Turtle,0.4,2020
1,Hydrophis platurus,reptilia,Yellow-bellied Sea Snake,0,2020
1,Chelonia mydas,reptilia,Green Turtle,0.6,2020
1,Holothuria leucospilota,holothuroidea,White Thread Fish,0,2020
1,Holothuria fuscogilva,holothuroidea,NA,0.4,2020
1,Holothuria hilla,holothuroidea,NA,0,2020
1,Holothuria pervicax,holothuroidea,NA,0,2020
1,Holothuria difficilis,holothuroidea,NA,0,2020
1,Holothuria flavomaculata,holothuroidea,NA,0,2020
1,Actinopyga mauritiana,holothuroidea,Surf Redfish,0.4,2020
1,Holothuria inhabilis,holothuroidea,NA,0,2020
1,Holothuria pardalis,holothuroidea,NA,0,2020
1,Holothuria whitmaei,holothuroidea,Black Teatfish,0.6,2020
1,Holothuria rigida,holothuroidea,NA,0,2020
1,Holothuria fuscocinerea,holothuroidea,NA,0,2020
1,Pearsonothuria graeffei,holothuroidea,Blackspotted Sea Cucumber,0,2020
1,Holothuria atra,holothuroidea,Lollyfish,0,2020
1,Holothuria erinaceaus,holothuroidea,NA,0,2020
1,Labidodemas semperianum,holothuroidea,NA,0,2020
1,Holothuria verrucosa,holothuroidea,NA,0,2020
1,Naso lituratus,actinopterygii,Orange Spine Surgeonfish,0,2020
1,Acanthurus nigricauda,actinopterygii,Blackstreak Surgeonfish,0,2020
1,Naso unicornis,actinopterygii,Bluespine Unicornfish,0,2020
1,Acanthurus leucocheilus,actinopterygii,Palelipped Surgeonfish,0,2020
1,Naso brevirostris,actinopterygii,Palefin Unicornfish,0,2020
1,Ctenochaetus hawaiiensis,actinopterygii,Hawaiian Bristletooth,0,2020
1,Acanthurus triostegus,actinopterygii,Convict Surgeonfish,0,2020
1,Acanthurus xanthopterus,actinopterygii,Yellowfin Surgeonfish,0,2020
1,Acanthurus lineatus,actinopterygii,Lined Surgeonfish,0,2020
1,Naso vlamingii,actinopterygii,Bignose Unicornfish,0,2020
1,Acanthurus guttatus,actinopterygii,Whitespotted Surgeonfish,0,2020
1,Ctenochaetus marginatus,actinopterygii,Blue-spotted Bristletooth,0,2020
1,Acanthurus thompsoni,actinopterygii,Thompson's Surgeonfish,0,2020
1,Acanthurus nigricans,actinopterygii,Golden Rim Surgeonfish,0,2020
1,Acanthurus maculiceps,actinopterygii,Spotted-face Surgeonfish,0,2020
1,Acanthurus pyroferus,actinopterygii,Mimic Surgeonfish,0,2020
1,Acanthurus olivaceus,actinopterygii,Orange band Surgeonfish,0,2020
1,Zebrasoma veliferum,actinopterygii,Sailfin Tang,0,2020
1,Paracanthurus hepatus,actinopterygii,Palette Surgeonfish,0,2020
1,Ctenochaetus cyanocheilus,actinopterygii,Short-tail bristle-tooth,0,2020
1,Zebrasoma scopas,actinopterygii,Brushtail Tang,0,2020
1,Acanthurus achilles,actinopterygii,Achilles Tang,0,2020
1,Acanthurus blochii,actinopterygii,Ringtail Surgeonfish,0,2020
1,Ctenochaetus flavicauda,actinopterygii,Whitetail Bristletooth,0,2020
1,Acanthurus dussumieri,actinopterygii,Eyestripe Surgeonfish,0,2020
1,Acanthurus nigrofuscus,actinopterygii,Brown Surgeonfish,0,2020
1,Naso hexacanthus,actinopterygii,Sleek Unicornfish,0,2020
1,Acanthurus mata,actinopterygii,Elongate Surgeonfish,0,2020
1,Ctenochaetus striatus,actinopterygii,Striped Bristletooth,0,2020
1,Fistularia petimba,actinopterygii,Red Cornetfish,0,2020
1,Fistularia commersonii,actinopterygii,Bluespotted Cornetfish,0,2020
1,Doryrhamphus excisus,actinopterygii,Bluestripe Pipefish,0,2020
1,Choeroichthys sculptus,actinopterygii,Sculptured Pipefish,0,2020
1,Aulostomus chinensis,actinopterygii,Chinese Trumpetfish,0,2020
1,Katsuwonus pelamis,actinopterygii,Skipjack Tuna,0,2020
1,Thunnus albacares,actinopterygii,Yellowfin Tuna,0.2,2020
1,Makaira nigricans,actinopterygii,Blue Marlin,0.4,2020
1,Thunnus alalunga,actinopterygii,Albacore Tuna,0.2,2020
1,Xiphias gladius,actinopterygii,Swordfish,0,2020
1,Kajikia audax,actinopterygii,Striped Marlin,0.2,2020
1,Thunnus obesus,actinopterygii,Bigeye Tuna,0.4,2020
1,Istiophorus platypterus,actinopterygii,Sailfish,0,2020
1,Acanthocybium solandri,actinopterygii,Wahoo,0,2020
1,Coris centralis,actinopterygii,NA,0,2020
1,Cheilinus trilobatus,actinopterygii,Tripletail Wrasse,0,2020
1,Coris gaimard,actinopterygii,African clown wrasse,0,2020
1,Novaculichthys taeniourus,actinopterygii,Olive-scribbled wrasse,0,2020
1,Pseudocheilinus hexataenia,actinopterygii,Six-line wrasse,0,2020
1,Thalassoma amblycephalum,actinopterygii,Bluntheaded wrasse,0,2020
1,Labropsis xanthonota,actinopterygii,Wedge-tailed wrasse,0,2020
1,Thalassoma hardwicke,actinopterygii,Six-banded wrasse,0,2020
1,Bodianus prognathus,actinopterygii,NA,0,2020
1,Halichoeres hortulanus,actinopterygii,Checkerboard wrasse,0,2020
1,Oxycheilinus unifasciatus,actinopterygii,Whiteband maori wrasse,0,2020
1,Thalassoma lutescens,actinopterygii,Yellow-brown wrasse,0,2020
1,Epibulus insidiator,actinopterygii,Sling-jaw wrasse,0,2020
1,Thalassoma quinquevittatum,actinopterygii,Five striped surge wrasse,0,2020
1,Bodianus loxozonus,actinopterygii,Blackfin Hogfish,0,2020
1,Thalassoma purpureum,actinopterygii,Purple wrasse,0,2020
1,Halichoeres pallidus,actinopterygii,Pale wrasse,0,2020
1,Calotomus carolinus,actinopterygii,Carolines Parrotfish,0,2020
1,Scarus globiceps,actinopterygii,Globehead Parrotfish,0,2020
1,Scarus spinus,actinopterygii,Greensnout Parrotfish,0,2020
1,Chlorurus microrhinos,actinopterygii,Steephead Parrotfish,0,2020
1,Scarus psittacus,actinopterygii,Common Parrotfish,0,2020
1,Scarus niger,actinopterygii,Dusky Parrotfish,0,2020
1,Scarus pyrrostethus,actinopterygii,Blue Banded Parrotfish,0,2020
1,Bolbometopon muricatum,actinopterygii,Green Humphead Parrotfish,0.4,2020
1,Scarus oviceps,actinopterygii,Blue Parrotfish,0,2020
1,Pseudocheilinus ocellatus,actinopterygii,White-barred Pink Wrasse,0,2020
1,Hemigymnus fasciatus,actinopterygii,Barred thicklip wrasse,0,2020
1,Thalassoma lunare,actinopterygii,Crescent-Tail Wrasse,0,2020
1,Labroides dimidiatus,actinopterygii,Blue-streak cleaner wrasse,0,2020
1,Stethojulis bandanensis,actinopterygii,Red-spot rainbowfish,0,2020
1,Halichoeres margaritaceus,actinopterygii,Pearl-spotted wrasse,0,2020
1,Halichoeres trimaculatus,actinopterygii,Three-spot wrasse,0,2020
1,Bodianus axillaris,actinopterygii,Turncoat hogfish,0,2020
1,Hologymnosus doliatus,actinopterygii,Narrow-banded wrasse,0,2020
1,Gomphosus varius,actinopterygii,Purple club-nosed wrasse,0,2020
1,Halichoeres melasmapomus,actinopterygii,Ocellated wrasse,0,2020
1,Labroides pectoralis,actinopterygii,Gold barrier reef cleaner,0,2020
1,Pseudocheilinus octotaenia,actinopterygii,Eightstripe wrasse,0,2020
1,Labrichthys unilineatus,actinopterygii,Tube-mouth wrasse,0,2020
1,Cheilinus oxycephalus,actinopterygii,Point-head maori wrasse,0,2020
1,Pseudocheilinus evanidus,actinopterygii,Disappearing wrasse,0,2020
1,Cymolutes praetextatus,actinopterygii,Knife razorfish,0,2020
1,Pseudocoris heteroptera,actinopterygii,Torpedo wrasse,0,2020
1,Macropharyngodon meleagris,actinopterygii,Blackspotted wrasse,0,2020
1,Halichoeres claudia,actinopterygii,Claudia's wrasse,0,2020
1,Iniistius pavo,actinopterygii,Indianfish blue razorfish,0,2020
1,Thalassoma trilobatum,actinopterygii,Green-blocked wrasse,0,2020
1,Pseudodax moluccanus,actinopterygii,Chisel-tooth wrasse,0,2020
1,Bodianus anthioides,actinopterygii,Lyre-tail hogfish,0,2020
1,Anampses caeruleopunctatus,actinopterygii,Bluespotted Wrasse,0,2020
1,Anampses meleagrides,actinopterygii,Spotted Wrasse,0,2020
1,Labroides rubrolabiatus,actinopterygii,Redlip cleaner wrasse,0,2020
1,Labroides bicolor,actinopterygii,Two-colour cleaner wrasse,0,2020
1,Anampses twistii,actinopterygii,Yellowbreasted Wrasse,0,2020
1,Coris aygula,actinopterygii,False clownwrasse,0,2020
1,Scarus tricolor,actinopterygii,Tricolour Parrotfish,0,2020
1,Chlorurus spilurus,actinopterygii,Bullethead Parrotfish,0,2020
1,Scarus rubroviolaceus,actinopterygii,Ember Parrotfish,0,2020
1,Hipposcarus longiceps,actinopterygii,Pacific Longnose Parrotfish,0,2020
1,Scarus frenatus,actinopterygii,Bridled Parrotfish,0,2020
1,Chlorurus frontalis,actinopterygii,Tan-faced Parrotfish,0,2020
1,Gygis alba,aves,Common White Tern,0,2020
