layer_name,scenario_year,data_year
hab_seagrass_health,2015,2012
hab_seagrass_health,2016,2012
hab_seagrass_health,2017,2012
hab_seagrass_health,2018,2012
hab_seagrass_health,2019,2012
hab_seagrass_health,2020,2012
hab_seagrass_trend,2012,2012
hab_seagrass_trend,2013,2012
hab_seagrass_trend,2014,2012
hab_seagrass_trend,2015,2012
hab_seagrass_trend,2016,2012
hab_seagrass_trend,2017,2012
hab_seagrass_trend,2018,2012
hab_seagrass_trend,2019,2012
hab_seagrass_trend,2020,2012
hab_seaice_extent,2012,2016
hab_seaice_extent,2013,2016
hab_seaice_extent,2014,2016
hab_seaice_extent,2015,2016
hab_seaice_extent,2016,2016
hab_seaice_extent,2017,2016
hab_seaice_extent,2018,2016
hab_seaice_extent,2019,2016
hab_seaice_extent,2020,2016
hab_seaice_health,2012,2011
hab_seaice_health,2013,2012
hab_seaice_health,2014,2013
hab_seaice_health,2015,2014
hab_seaice_health,2016,2015
hab_seaice_health,2017,2016
hab_seaice_health,2018,2017
hab_seaice_health,2019,2018
hab_seaice_health,2020,2018
hab_seaice_trend,2012,2011
hab_seaice_trend,2013,2012
hab_seaice_trend,2014,2013
hab_seaice_trend,2015,2014
hab_seaice_trend,2016,2015
hab_seaice_trend,2017,2016
hab_seaice_trend,2018,2017
hab_seaice_trend,2019,2018
hab_seaice_trend,2020,2018
hab_softbottom_extent,2012,2012
hab_softbottom_extent,2013,2012
hab_softbottom_extent,2014,2012
hab_softbottom_extent,2015,2012
hab_softbottom_extent,2016,2012
hab_softbottom_extent,2017,2012
hab_softbottom_extent,2018,2012
hab_softbottom_extent,2019,2012
hab_softbottom_extent,2020,2012
hab_softbottom_health,2012,2009
hab_softbottom_health,2013,2010
hab_softbottom_health,2014,2011
hab_softbottom_health,2015,2012
hab_softbottom_health,2016,2013
hab_softbottom_health,2017,2014
hab_softbottom_health,2018,2015
hab_softbottom_health,2019,2015
hab_softbottom_health,2020,2015
hab_softbottom_trend,2012,2009
hab_softbottom_trend,2013,2010
hab_softbottom_trend,2014,2011
hab_softbottom_trend,2015,2012
hab_softbottom_trend,2016,2013
hab_softbottom_trend,2017,2014
hab_softbottom_trend,2018,2015
hab_softbottom_trend,2019,2015
hab_softbottom_trend,2020,2015
hd_mpa_coast,2012,2012
hd_mpa_coast,2013,2013
hd_mpa_coast,2014,2014
hd_mpa_coast,2015,2015
hd_mpa_coast,2016,2016
hd_mpa_coast,2017,2017
hd_mpa_coast,2018,2018
hd_mpa_coast,2019,2019
hd_mpa_coast,2020,2019
hd_mpa_eez,2012,2012
hd_mpa_eez,2013,2013
hd_mpa_eez,2014,2014
hd_mpa_eez,2015,2015
hd_mpa_eez,2016,2016
hd_mpa_eez,2017,2017
hd_mpa_eez,2018,2018
hd_mpa_eez,2019,2019
hd_mpa_eez,2020,2019
li_gci,2012,2011
li_gci,2013,2012
li_gci,2014,2013
li_gci,2015,2014
li_gci,2016,2015
li_gci,2017,2016
li_gci,2018,2017
li_gci,2019,2017
li_gci,2020,2017
res_spi,2012,2016
res_spi,2013,2016
res_spi,2014,2016
res_spi,2015,2016
res_spi,2016,2016
res_spi,2017,2017
res_spi,2018,2018
res_spi,2019,2019
res_spi,2020,2019
sp_genetic,2012,2010
sp_genetic,2013,2011
sp_genetic,2014,2012
sp_genetic,2015,2013
sp_genetic,2016,2014
sp_genetic,2017,2015
